author,title,rating,ratings,genres,link
Серж Винтеркей,Антидемон. Книга 10,4.9,673,"Боевое фэнтези, Книги про волшебников, Колдовство, Магические способности, Попаданцы, Путешествия во времени, Сражения, Становление героя",https://www.litres.ru/book/serzh-vinterkey/antidemon-kniga-10-70190914/
Татьяна Серганова,"Травница, или Как выжить среди магов. Том 2",4.8,796,"Авторский мир, Любовное фэнтези, Любовный треугольник, Магические академии, Магическое фэнтези, Магия и волшебство, Самиздат",https://www.litres.ru/book/tatyana-serganova/travnica-ili-kak-vyzhit-sredi-magov-tom-2-70123711/
Евгений Водолазкин,Лавр,4.5,6052,"Духовные поиски, Историческая литература, Монашество, Премия «Большая книга», Премия «Ясная Поляна», Современная русская литература, Судьба человека",https://www.litres.ru/book/evgeniy-vodolazkin/lavr-4884703/
Наталья Мамлеева,Мой сводный Лёд,5.0,357,"Драконы, Любовно-фантастические романы, Любовное фэнтези, Магические миры, Неунывающая героиня, Романтическое фэнтези, Только на ЛитРес, Юмористическая фантастика",https://www.litres.ru/book/natalya-mamleeva/moy-svodnyy-led-70257481/
Татьяна Мужицкая,"Теория невероятности. Как мечтать, чтобы сбывалось, как планировать, чтобы достигалось",4.9,4656,"Искусство быть счастливым, Исполнение желаний, Как достичь цели, Личная эффективность, О психологии популярно, Практическая психология, Психологические тренинги, Саморазвитие / личностный рост, Самосовершенствование, Скрытые возможности",https://www.litres.ru/audiobook/tatyana-muzhickaya/teoriya-neveroyatnosti-kak-mechtat-chtoby-sbyvalos-kak-41893430/
Милена Завойчинская,Университет Специальных Чар. Книга 3. Маэстрине некогда скучать,4.9,473,"Демоны, Любовное фэнтези, Магические академии, Магические миры, Попаданцы, Романтическое фэнтези, Тайны прошлого",https://www.litres.ru/book/milena-zavoychinskay/universitet-specialnyh-char-kniga-3-maestrine-nekogda-70134928/
Ольга Примаченко,"К себе нежно. Книга о том, как ценить и беречь себя",4.6,6689,"Внутренняя гармония, Повышение самооценки, Практическая психология, Работа над собой, Самовоспитание, Саморазвитие / личностный рост, Самосовершенствование",https://www.litres.ru/book/olga-primachenko/k-sebe-nezhno-kniga-o-tom-kak-cenit-i-berech-sebya-62780292/
Алексей Брусницын,Времени нет,4.8,1264,"Боевая фантастика, Жизнь после смерти, Научная фантастика, Попаданцы, Самиздат, Только на ЛитРес, Фантастический боевик, Философско-исторические размышления",https://www.litres.ru/book/aleksey-brusnicyn-26207658/vremeni-net-62727161/
Александра Маринина,Дебютная постановка. Том 1,4.5,1733,"В поисках истины, Журналистское расследование, Загадочные убийства, Расследование преступлений, Современные детективы, Частное расследование",https://www.litres.ru/book/aleksandra-marinina/debutnaya-postanovka-tom-1-69550351/
Виктор Дашкевич,Императорский Див. Колдун Российской империи,4.9,416,"Боевая фантастика, Детективная фантастика, Остросюжетные детективы, Приключенческие детективы, Фантастический боевик, Фантастический триллер",https://www.litres.ru/book/viktor-dashkevich/imperatorskiy-div-koldun-rossiyskoy-imperii-70013440/
Роберт Гараев,Слово пацана. Криминальный Татарстан 1970–2010-х,4.3,1246,"Воспоминания, Документальная литература, Истории из жизни, Криминальные разборки, Личный опыт, Россия 90-х, Уличная драка",https://www.litres.ru/book/robert-garaev/slovo-pacana-kriminalnyy-tatarstan-1970-2010-h-68307263/
Фредрик Бакман,Тревожные люди,4.7,14866,"Заложники, Ограбления, Проза жизни, Психологическая проза, Современная зарубежная литература, Шведская литература",https://www.litres.ru/book/fredrik-bakman/trevozhnye-ludi-63028197/
Виктор Дашкевич,Граф Аверин. Колдун Российской империи,4.9,1199,"Боевая фантастика, Городское фэнтези, Демоны, Детективная фантастика, Детективное фэнтези, Книги про волшебников, Мистические детективы, Остросюжетные детективы, Российская империя, Санкт-Петербург",https://www.litres.ru/audiobook/viktor-dashkevich/graf-averin-koldun-rossiyskoy-imperii-69566866/
Алексей Брусницын,Времени нет,4.7,2727,"Боевая фантастика, Жизнь после смерти, Научная фантастика, Попаданцы, Самиздат, Только на ЛитРес, Фантастический боевик, Философско-исторические размышления",https://www.litres.ru/audiobook/aleksey-brusnicyn-26207658/vremeni-net-64839262/
Татьяна Мужицкая,"Мне все льзя. О том, как найти свое призвание и самого себя",4.9,3730,"Как достичь успеха, Как обрести счастье, Личная эффективность, Практическая психология, Психологические тренинги, Самопознание, Саморазвитие / личностный рост, Самореализация, Уверенность в себе",https://www.litres.ru/audiobook/tatyana-muzhickaya/mne-vse-lzya-o-tom-kak-nayti-svoe-prizvanie-i-samogo-se-49652437/
Елена Звездная,Второй шанс. Книга третья,4.5,103,"Детективное фэнтези, Любовное фэнтези, Любовь и ненависть, Магические академии, Магическое фэнтези, Приключенческое фэнтези, Самиздат, Черновик",https://www.litres.ru/book/elena-zvezdnaya/vtoroy-shans-kniga-tretya-70219780/
Дина Рубина,Не вычеркивай меня из списка…,4.5,255,"Автобиографическая проза, Житейские истории, Психологическая проза, Семейные истории, Современная русская литература, Социальная проза",https://www.litres.ru/book/dina-rubina/ne-vycherkivay-menya-iz-spiska-69980839/
